brand,category,name,img,price,event
CU,도시락,백종원우삼겹정식,http://cdn2.bgfretail.com/bgfbrand/files/product/89D1807D62474BF18D9036823C50A7A3.jpg,4300,아침애행사
CU,도시락,백종원육해공닭갈비,http://cdn2.bgfretail.com/bgfbrand/files/product/584BDD1157E8436B98FAE1E85966DAE9.jpg,4500,아침애행사
CU,도시락,백종원육해공제육,http://cdn2.bgfretail.com/bgfbrand/files/product/8F73C3A796A0478C84077E2BDCAE791B.jpg,4500,아침애행사
CU,도시락,백종원육해공해물떡,http://cdn2.bgfretail.com/bgfbrand/files/product/470BD95BC700471988C6EAC86392BBE0.jpg,4500,아침애행사
CU,도시락,백종원한판도시락,http://cdn2.bgfretail.com/bgfbrand/files/product/95AD8B769F534993A7D45FA0282C82A1.jpg,3500,아침애행사
CU,도시락,백종원햄쌈도시락,http://cdn2.bgfretail.com/bgfbrand/files/product/B16EB88DF1254BCE8B7DD6301F12A4D7.jpg,4000,아침애행사
CU,도시락,베이컨크림스파게티,http://cdn2.bgfretail.com/bgfbrand/files/product/9C9E218EBEC44138A13CE838A9D41260.jpg,3800,
CU,도시락,보통이아니새우,http://cdn2.bgfretail.com/bgfbrand/files/product/668D148BCF00449D9AEDE4DA84EC9B13.jpg,4400,
CU,도시락,스팸구이,http://cdn2.bgfretail.com/bgfbrand/files/product/5F1A7A47B288443EA4C0CD99E86BC6FC.jpg,4000,아침애행사
CU,도시락,예뻐도돼지,http://cdn2.bgfretail.com/bgfbrand/files/product/A55A735FD0AC464087F24D38D9F1F1F5.jpg,3300,아침애행사
CU,도시락,요일도시락,http://cdn2.bgfretail.com/bgfbrand/files/product/296ED60F452048B8ADD4E4452A98C2C2.jpg,3600,
CU,도시락,참예우한우불고기정식,http://cdn2.bgfretail.com/bgfbrand/files/product/CB8EFE7E40C14AE989C6F634C83A595F.jpg,5000,아침애행사
CU,도시락,초계곤약면,http://cdn2.bgfretail.com/bgfbrand/files/product/424DF97A63D4407AB95B557B2140A104.jpg,4000,
CU,도시락,풍천민물장어,http://cdn2.bgfretail.com/bgfbrand/files/product/D7171141B086427D9942557BFEF725DA.jpg,9900,
CU,도시락,함박스파게티,http://cdn2.bgfretail.com/bgfbrand/files/product/370D62AE932F4FA09B9D2A656F6EBA53.jpg,4000,
CU,도시락,훈제오리,http://cdn2.bgfretail.com/bgfbrand/files/product/267155F8D0F541CAA4DFA066540E0C7B.jpg,4900,아침애행사
CU,도시락,흑미6찬,http://cdn2.bgfretail.com/bgfbrand/files/product/888A15515DF941DDAC467234986EB20E.jpg,3500,아침애행사
GS25,도시락,반반닭강정,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700014010504_001.jpg,9900,
GS25,도시락,가벼운한끼도시락,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700011010606_001.jpg,4200,
GS25,도시락,고메미트볼도시락,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700011010804_001.jpg,4600,
GS25,도시락,고진많도시락,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700011010668_001.jpg,4000,
GS25,도시락,고추장삼겹살,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809513100038_001.jpg,3500,
GS25,도시락,김치말이국수,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700014110099_001.jpg,3500,
